,tournament_selection|gbx_crossover|swap_mutation,tournament_selection|eager_breeder_crossover|swap_mutation,tournament_selection|twin_maker|the_hop,tournament_selection|gbx_crossover|merge_and_split,tournament_selection|eager_breeder_crossover|the_hop,tournament_selection|twin_maker|dream_team,tournament_selection|twin_maker|merge_and_split,tournament_selection|gbx_crossover|dream_team,fps|gbx_crossover|swap_mutation,fps|eager_breeder_crossover|swap_mutation,fps|twin_maker|the_hop,fps|gbx_crossover|merge_and_split,fps|eager_breeder_crossover|the_hop,fps|twin_maker|dream_team,fps|twin_maker|merge_and_split,fps|gbx_crossover|dream_team,ranking_selection|gbx_crossover|swap_mutation,ranking_selection|eager_breeder_crossover|swap_mutation,ranking_selection|twin_maker|the_hop,ranking_selection|gbx_crossover|merge_and_split,ranking_selection|eager_breeder_crossover|the_hop,ranking_selection|twin_maker|dream_team,ranking_selection|twin_maker|merge_and_split,ranking_selection|gbx_crossover|dream_team
81,76946.6667,78373.3333,48530,77043.3333,78566.6667,52723.3333,56433.3333,76556.6667,79140,79846.6667,53396.6667,79273.3333,79533.3333,47996.6667,52840,79786.6667,79523.3333,79803.3333,52396.6667,79360,79706.6667,42603.3333,50826.6667,79033.3333
82,76946.6667,78373.3333,48530,77043.3333,78566.6667,52723.3333,56466.6667,76556.6667,79143.3333,79846.6667,53410,79273.3333,79556.6667,48016.6667,52976.6667,79800,79523.3333,79803.3333,52640,79380,79716.6667,42670,51070,79090
83,76946.6667,78373.3333,48530,77043.3333,78566.6667,52723.3333,56606.6667,76556.6667,79153.3333,79890,53493.3333,79290,79556.6667,48153.3333,53043.3333,79810,79526.6667,79803.3333,52736.6667,79390,79716.6667,42673.3333,51246.6667,79110
84,76946.6667,78373.3333,48530,77043.3333,78566.6667,52723.3333,56670,76556.6667,79166.6667,79890,53703.3333,79290,79556.6667,48313.3333,53270,79830,79533.3333,79803.3333,52826.6667,79416.6667,79716.6667,42710,51360,79113.3333
85,76946.6667,78373.3333,48530,77043.3333,78566.6667,52723.3333,56673.3333,76556.6667,79166.6667,79890,53900,79293.3333,79556.6667,48380,53600,79830,79533.3333,79816.6667,52936.6667,79450,79716.6667,42876.6667,51423.3333,79220
86,76946.6667,78373.3333,48530,77043.3333,78566.6667,52723.3333,56693.3333,76556.6667,79166.6667,79890,54003.3333,79303.3333,79556.6667,48503.3333,53656.6667,79833.3333,79533.3333,79816.6667,53063.3333,79523.3333,79716.6667,43173.3333,51616.6667,79243.3333
87,76946.6667,78376.6667,48530,77043.3333,78566.6667,52740,56743.3333,76556.6667,79166.6667,79896.6667,54073.3333,79313.3333,79556.6667,48586.6667,53750,79840,79550,79816.6667,53100,79526.6667,79716.6667,43280,51656.6667,79246.6667
88,76946.6667,78376.6667,48530,77043.3333,78566.6667,52740,56760,76556.6667,79166.6667,79896.6667,54243.3333,79313.3333,79560,48600,53826.6667,79840,79550,79816.6667,53150,79560,79716.6667,43420,51816.6667,79286.6667
89,76946.6667,78376.6667,48530,77043.3333,78566.6667,52846.6667,56823.3333,76556.6667,79166.6667,79896.6667,54253.3333,79313.3333,79560,48613.3333,53876.6667,79860,79550,79816.6667,53433.3333,79563.3333,79716.6667,43503.3333,51876.6667,79333.3333
90,76946.6667,78376.6667,48533.3333,77043.3333,78566.6667,52846.6667,56933.3333,76556.6667,79166.6667,79896.6667,54346.6667,79316.6667,79560,48683.3333,53973.3333,79863.3333,79550,79816.6667,53533.3333,79566.6667,79716.6667,43503.3333,52030,79363.3333
91,76946.6667,78376.6667,48583.3333,77043.3333,78566.6667,52846.6667,57046.6667,76556.6667,79166.6667,79896.6667,54420,79333.3333,79560,48696.6667,54046.6667,79863.3333,79563.3333,79816.6667,53666.6667,79590,79716.6667,43906.6667,52156.6667,79376.6667
92,76946.6667,78376.6667,48610,77043.3333,78566.6667,52903.3333,57213.3333,76556.6667,79166.6667,79896.6667,54480,79333.3333,79560,48706.6667,54203.3333,79863.3333,79563.3333,79816.6667,53730,79593.3333,79716.6667,43960,52280,79376.6667
